customer_id,location,device_type,purchase_history,time_on_site,competitor_price,recommended_price,ethnicity,gender
CUST0001,urban,desktop,39,47.64,650.94,696.72,Asian,Female
CUST0002,rural,desktop,6,27.78,489.68,481.25,White,Non-binary
CUST0003,suburban,mobile,31,18.8,163.92,226.58,Hispanic,Male
CUST0004,suburban,desktop,47,23.66,539.09,588.83,White,Male
CUST0005,urban,mobile,18,51.41,731.95,737.69,White,Non-binary
CUST0006,urban,mobile,5,45.19,561.9,585.82,Hispanic,Female
CUST0007,urban,desktop,19,17.07,884.9,822.8,Asian,Female
CUST0008,rural,mobile,26,7.93,360.04,375.81,Black,Female
CUST0009,suburban,desktop,42,15.87,177.62,241.44,White,Non-binary
CUST0010,suburban,desktop,36,55.32,942.91,993.41,White,Female
CUST0011,urban,mobile,47,35.31,440.38,534.27,Asian,Female
CUST0012,rural,desktop,6,32.48,618.76,618.07,White,Female
CUST0013,rural,mobile,4,36.19,812.8,851.95,Hispanic,Female
CUST0014,urban,mobile,10,22.6,391.88,420.26,Hispanic,Male
CUST0015,urban,desktop,14,48.62,744.55,827.73,Hispanic,Male
CUST0016,urban,desktop,2,31.87,221.88,211.62,White,Female
CUST0017,urban,mobile,4,7.89,362.16,369.63,Asian,Male
CUST0018,suburban,mobile,22,8.61,230.24,257.61,White,Female
CUST0019,suburban,desktop,36,32.67,830.11,932.46,White,Male
CUST0020,urban,desktop,8,,300.38,298.21,White,Female
CUST0021,suburban,desktop,14,19.19,745.66,769.24,White,Male
CUST0022,urban,mobile,2,52.3,948.97,922.28,Hispanic,Female
CUST0023,urban,mobile,28,46.08,574.99,608.08,White,Female
CUST0024,urban,mobile,5,15.62,586.03,561.18,White,Male
CUST0025,suburban,desktop,16,3.14,514.93,485.46,Other,Female
CUST0026,rural,mobile,25,7.01,393.3,425,White,Male
CUST0027,urban,mobile,20,43.98,528.09,534.67,Asian,Male
CUST0028,suburban,desktop,7,12.78,642.53,608.06,White,Male
CUST0029,suburban,mobile,20,22.9,987.39,968.02,White,Male
CUST0030,urban,desktop,10,30.6,943.99,872.24,Hispanic,Non-binary
CUST0031,suburban,desktop,37,43.8,875.94,1020.13,White,Male
CUST0032,urban,desktop,7,7.68,900.22,919.93,Black,Female
CUST0033,urban,mobile,41,24.98,521.06,576.38,White,Male
CUST0034,rural,mobile,23,29.62,691.7,701.08,,Female
CUST0035,rural,desktop,34,32.91,905.56,1045.57,White,Male
CUST0036,rural,desktop,13,49.28,453.66,474.81,White,Female
CUST0037,urban,desktop,13,11.13,965.59,997.99,White,Female
CUST0038,urban,mobile,9,48.66,474.21,490.48,Asian,Female
CUST0039,suburban,desktop,11,41.88,640.97,683.72,White,Male
CUST0040,suburban,desktop,37,33.8,738.82,821.74,White,Female
CUST0041,urban,desktop,43,42.27,955.53,952.49,White,Male
CUST0042,suburban,desktop,45,25.31,320.15,336.17,Hispanic,Male
CUST0043,urban,desktop,33,9.17,771.52,835.98,Hispanic,Male
CUST0044,rural,desktop,40,40.28,568.73,610.19,Asian,Male
CUST0045,urban,mobile,9,31.96,341.7,327.04,Hispanic,Female
CUST0046,suburban,mobile,16,38.72,798.95,797.59,White,Female
CUST0047,urban,mobile,16,20.94,597,621.59,White,Male
CUST0048,suburban,mobile,2,54.51,694.88,742.14,Black,Male
CUST0049,suburban,mobile,30,35.65,390.61,374.79,Black,Male
CUST0050,urban,mobile,0,6.04,533.15,517,White,Female
CUST0051,rural,mobile,11,27.54,655.62,718,White,Female
CUST0052,rural,mobile,38,45.63,464.42,552.54,Other,Male
CUST0053,rural,desktop,3,47.85,278.54,271.56,Hispanic,Female
CUST0054,rural,desktop,41,30.18,965.48,1094.65,White,Female
CUST0055,suburban,mobile,12,53.79,560.32,575.63,Asian,Female
CUST0056,rural,desktop,33,16.79,760.53,783.01,White,Female
CUST0057,urban,mobile,41,25.23,469.94,546.87,White,
CUST0058,urban,mobile,20,54.02,419.62,475.83,White,Female
CUST0059,urban,mobile,21,53.88,466.45,491.79,White,Male
CUST0060,urban,mobile,3,41.46,468.28,436.9,White,Male
CUST0061,urban,desktop,17,51.68,589.76,601.23,Hispanic,Male
CUST0062,urban,desktop,4,6.24,589.12,538.94,White,Female
CUST0063,rural,mobile,18,52.03,547.44,523.29,Black,Female
CUST0064,urban,mobile,1,19.92,221.31,217.35,White,Male
CUST0065,urban,mobile,11,11.52,546.47,604.61,White,Male
CUST0066,suburban,mobile,16,15.12,252.19,301.92,Hispanic,Female
CUST0067,urban,mobile,9,25.66,213.52,222.1,Black,Female
CUST0068,rural,mobile,33,15.82,939.38,982.81,Other,Female
CUST0069,urban,desktop,5,19.91,644.46,584.76,Other,Female
CUST0070,rural,desktop,7,8.96,693.54,658.93,White,Female
CUST0071,rural,mobile,10,18.47,461.61,426.24,White,Male
CUST0072,urban,desktop,11,34.76,918.08,980.92,Hispanic,Male
CUST0073,urban,mobile,8,27.07,674.14,635.83,Other,Male
CUST0074,rural,mobile,1,21.46,792.25,852.06,Black,Female
